Fantasy,School Syllabus,Modern Thriller,Non-Fiction,Romance,Sci-fi,Memoir,Contemporary Fiction,Young Adult,Historical Fiction
17372039,816815,8442457,20839196,62627512,31686251,38744839,44090787,2767052,25739188
29588376,6519719,968,33154385,15931,104,11084145,39948633,11870085,18143977
58966668,455033,2429135,11468377,1885,901,127441416,18774964,9717320,4667024
13496,40542121,23808,7630041,21532133,8706,29780253,34273236,8606706,32620332
132080146,52566051,21840310,8520610,12649718,9969571,61917728,17333223,3636,929
2495567,529943,9646992,28820055,41150487,54493401,7445,40178403,12382940,35523006
15818476,59926998,19486412,1202,58690308,463421,13458984,865,38695,2157743
7235533,13079982,40097951,35133922,25883848,6303927,9418327,1226,192566704,21853621
3165162,45159584,6460221,17351,10818853,8350864,4030991,22822858,22294935,128029
311502,603259,21686,3828902,12024,18245960,52838315,62897700,50659466,6520929
